ID;task;topic
T1;How many nodes are there in the network? Answer with a number.;Network size
T2;How many IP addresses are assigned to devices? Answer with a number.;Network size
T3;Which devices have the most IP addresses assigned?;Network size
T4;Draw me the graph of my network. If you can't draw it, use ascii art.;Drawing 
T5;Are there any devices with special-purpose IP addresses (e.g., multicast addresses)?,IP addressing 
T6;Do any devices have multiple IP addresses assigned to them?;IP addressing 
T7;Are there any IPv6 addresses assigned?;IP addressing 
T8;How many subnetworks are there in my network? Answer with a number.;Subnetting
T9;Is it possible to remove one subnetwork but keeping all the devices able to ping each other?,Subnetting
T10;Which is the subnetwork that connects x1 to x2?,Subnetting 
T11;Is it possible for x1 to ping x2 without any hop? Answer directly with "yes" or "no". (negative);Path computation
T12;Is it possible for x1 to ping x2 without any hop? Answer directly with "yes" or "no". (positive);Path computation
T13;Traceroute from x1 to x2.;Path computation
